geography,Household Deprivation: Household is not deprived in any dimension; measures: Value,Household Deprivation: Household is deprived in 1 dimension; measures: Value,Household Deprivation: Household is deprived in 2 dimensions; measures: Value,Household Deprivation: Household is deprived in 3 dimensions; measures: Value,Household Deprivation: Household is deprived in 4 dimensions; measures: Value
BL3  5,662,1001,905,411,44
BL3  6,392,647,643,225,37
BL4  0,1445,1299,960,278,17
BL4  7,898,966,836,306,43
BL4  8,1235,1174,800,262,29
BL4  9,1030,1193,1029,435,36
BL5  1,541,381,232,26,4
BL5  2,2385,1525,908,240,15
BL5  3,2572,1577,897,187,14
BL6  4,1489,624,215,29,0
BL6  5,2035,1343,773,160,11
BL6  6,1500,937,480,136,6
BL6  7,1199,921,635,181,16
BL7  0,845,333,133,14,0
BL7  8,187,83,25,4,1
BL7  9,2650,1408,591,108,3
BL8  1,2569,1671,856,198,15
BL8  2,2028,1530,751,144,13
BL8  3,1826,970,456,98,9
BL8  4,1013,545,175,18,1
BL9  0,320,332,262,109,16
BL9  5,1065,872,583,179,17
BL9  6,1505,1223,903,256,29
BL9  7,1346,1361,1093,437,42
BL9  8,1907,1325,620,104,6
BL9  9,1703,1521,998,283,31
BN1  1,294,418,223,59,14
BN1  2,1012,1138,540,156,32
BN1  3,2515,2088,819,257,56
BN1  4,1711,1349,642,248,61
BN1  5,2454,1255,491,94,20
BN1  6,4045,2182,951,260,42
BN1  7,1294,1030,680,266,35
BN1  8,2763,1890,1055,205,15
BN1  9,580,625,475,154,16
BN10 7,1581,1377,782,172,20
BN10 8,1385,1493,1057,221,15
BN11 1,844,730,508,164,18
BN11 2,1620,1433,868,260,28
BN11 3,806,975,528,155,35
BN11 4,1713,1534,857,255,44
BN11 5,1432,1025,456,86,4
BN12 4,1624,1246,575,69,9
BN12 5,907,889,441,46,5
BN12 6,1270,1194,794,185,18
BN13 1,1632,1155,664,168,9
BN13 2,1834,1590,969,198,17
BN13 3,1731,1166,568,147,8
BN14 0,1201,940,421,57,2
BN14 7,2152,1372,750,173,24
BN14 8,1179,907,494,143,15
BN14 9,1645,935,417,75,6
BN15 0,1472,1202,693,153,15
BN15 8,1318,1430,983,169,13
BN15 9,1725,1736,1055,230,27
BN16 1,1265,1105,610,81,3
BN16 2,1444,1383,629,63,4
BN16 3,1468,1351,839,116,9
BN16 4,1403,924,411,62,8
BN17 5,1111,1110,768,231,44
BN17 6,2382,2049,1071,213,32
BN17 7,1121,1242,796,221,26
BN18 0,1618,1119,511,96,7
BN18 9,1183,738,313,70,4
BN2  0,1226,1021,716,319,57
BN2  1,2134,2053,1214,454,91
BN2  3,2277,1671,817,307,55
BN2  4,1938,1982,1427,576,82
BN2  5,1796,1907,1469,507,62
BN2  6,1542,1385,814,173,10
BN2  7,1008,668,241,48,2
BN2  8,1772,1295,666,106,13
BN2  9,2187,1418,812,322,50
BN20 0,407,268,87,9,1
BN20 7,1251,1123,468,85,13
BN20 8,1609,1106,572,171,13
BN20 9,1077,829,376,47,4
BN21 1,1535,1112,572,112,9
BN21 2,1810,1500,821,192,39
BN21 3,768,1043,727,219,40
BN21 4,803,920,457,102,25
BN22 0,1539,1456,852,213,14
BN22 7,786,723,541,175,38
BN22 8,1830,1367,857,207,39
BN22 9,1088,1082,736,227,20
BN23 5,1557,999,348,57,4
BN23 6,1067,1098,708,132,18
BN23 7,995,1176,982,229,20
BN23 8,1135,1084,640,233,32
BN24 5,1231,851,388,66,1
BN24 6,522,560,389,66,3
BN25 1,945,824,454,108,13
BN25 2,1400,1248,592,87,8
BN25 3,1528,1363,802,135,10
BN25 4,637,423,191,24,2
BN26 5,1184,1076,604,115,9
